,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-07-06,54.48,,,
1,2015-07-07,55.73,0.0226,,
2,2015-07-08,56.31,0.0103,,
3,2015-07-09,55.86,-0.008,,
4,2015-07-10,57.73,0.033,,
5,2015-07-13,58.87,0.0195,,
6,2015-07-14,58.25,-0.0106,,
7,2015-07-15,57.28,-0.0167,,
8,2015-07-16,58.81,0.0262,,
9,2015-07-17,59.47,0.0111,,
10,2015-07-20,59.82,0.006,,
11,2015-07-21,59.91,0.0014,,
12,2015-07-22,58.73,-0.0199,,
13,2015-07-23,57.71,-0.0174,,
14,2015-07-24,57.46,-0.0043,,
15,2015-07-27,58.19,0.0126,,
16,2015-07-28,58.9,0.0121,,
17,2015-07-29,58.59,-0.0052,,
18,2015-07-30,59.57,0.0165,,
19,2015-07-31,59.76,0.0033,,
20,2015-08-03,60.44,0.0113,,
21,2015-08-04,60.02,-0.007,,
22,2015-08-05,60.52,0.0084,,
23,2015-08-06,59.98,-0.009,,
24,2015-08-07,59.0,-0.0164,,
25,2015-08-10,59.27,0.0045,,
26,2015-08-11,58.64,-0.0107,,
27,2015-08-12,57.67,-0.0166,,
28,2015-08-13,57.15,-0.0092,,
29,2015-08-14,57.47,0.0056,,
30,2015-08-17,57.0,-0.0081,,
31,2015-08-18,56.55,-0.0081,,
32,2015-08-19,56.24,-0.0055,,
33,2015-08-20,55.84,-0.0071,,
34,2015-08-21,54.35,-0.027,,
35,2015-08-24,53.3,-0.0196,,
36,2015-08-25,52.8,-0.0094,,
37,2015-08-26,55.58,0.0514,,
38,2015-08-27,56.54,0.017,,
39,2015-08-28,56.17,-0.0065,,
40,2015-08-31,54.64,-0.0276,,
41,2015-09-01,52.73,-0.0356,,
42,2015-09-02,54.2,0.0274,,
43,2015-09-03,54.27,0.0012,,
44,2015-09-04,53.07,-0.0223,,
45,2015-09-08,55.7,0.0484,,
46,2015-09-09,54.27,-0.026,,
47,2015-09-10,54.27,-0.0001,,
48,2015-09-11,55.47,0.0219,,
49,2015-09-14,56.06,0.0107,,
50,2015-09-15,56.7,0.0112,0.422109,56.41780898847361
51,2015-09-16,57.43,0.0129,0.416432,55.65903838271168
52,2015-09-17,57.48,0.0008,0.414932,55.458552931127585
53,2015-09-18,56.73,-0.013,0.414489,55.39934289442641
54,2015-09-21,56.55,-0.0032,0.41318600000000005,55.225187865483704
55,2015-09-22,55.88,-0.0119,0.413138,55.21877233103301
56,2015-09-23,55.13,-0.0135,0.41153599999999996,55.00465386874119
57,2015-09-24,54.84,-0.0053,0.413381,55.25125097418963
58,2015-09-25,55.16,0.0059,0.417333,55.77946331062986
59,2015-09-28,52.63,-0.0469,0.416787,55.70648660625325
60,2015-09-29,52.04,-0.0114,0.42579900000000004,56.91100319937049
61,2015-09-30,53.08,0.0197,0.435465,58.20293144937838
62,2015-10-01,53.27,0.0035,0.43560299999999996,58.22137611092412
